,A4:BD:C4:2E:D7:70 (Dignajas Rozes),A4:BD:C4:2E:D7:74 (Dignajas Rozes 5G),6A:51:48:7C:54:95 (RosaMaria \xF0\x9F\x92\x95),9A:62:AB:67:28:4B (PhPhPhone),4C:75:25:CD:DD:E9 (M5Stick),94:B9:7E:A9:10:15 (M5Atom),room_index,measurement_index,batch_index,x,y,18:4A:6F:54:B2:82 (ALHN-8A10),84:3E:92:6E:08:58 (OPTIC0852),90:16:BA:F8:CA:B4 (OPTICCAAC),90:16:BA:F8:CA:B8 (OPTICCAAC-5G),90:16:BA:F8:C7:DC (TheForceStrong),84:3E:92:6E:08:5C (OPTIC0852-5G),06:D6:AA:E7:35:25 (AndroidAP3525),B4:E8:42:9A:0E:5A (LEDnet00339A0E5A),F0:68:65:36:11:F9 (ALHN-442D),DC:2C:6E:F6:6F:A2 (LMT-2GHz-6F9D),90:16:BA:F8:C7:D8 (TheForceWeak),84:3E:92:6E:29:5C (Apollo Creed),10:27:F5:3F:31:2B (Ziepis),54:37:BB:B1:71:59 (Diagon Alleys),84:3E:92:6E:29:60 (OPTIC2953-5G),5C:1A:6F:EC:B0:21 (ALHN-A333),1C:43:63:6A:56:F4 (OPTIC56EC),A2:B3:8D:32:AC:0D (HUAWEI_B535_AC32),A2:B3:8D:32:AC:11 (HUAWEI_B535_AC32_5G),8C:DE:F9:0B:E5:89 (Dignajas 12),A2:B3:8D:32:AC:09 (HUAWEI_B535_AC32),F8:0C:58:10:DC:39 (ALHN-C1EF),F0:2F:74:B7:02:00 (Swamp),D4:1A:D1:3E:C6:71 (Baltcom_C671),B4:26:5D:A5:20:A9 (ALHN-76BA),94:00:B0:1D:01:80 (EDGE-h5fG),FA:0C:58:40:DC:3D (),F0:2F:74:B7:02:04 (Swamp),08:55:31:A1:C2:10 (LMT-C20B),28:68:D2:80:AB:C4 (EDGE-q8Ef),5C:1A:6F:EC:B9:8D (ALHN-A45E),5C:1A:6F:EC:C3:7D (ALHN-A532),E4:C3:2A:90:85:DB (House of Cats 2.4 GHz),6C:16:32:B4:45:48 (OPTIC4542),EA:C3:2A:86:C7:D1 (),14:CB:19:E5:58:9C (DIRECT-9B-HP DeskJet 2700 series),E4:C3:2A:86:C7:D1 (TP-Link_C7D1),D4:62:EA:C8:19:BE (RUTTE),10:27:F5:3F:31:2A (Ziepis5G),D4:62:EA:C8:19:C2 (),A4:BD:C4:2F:06:44 (OPTIC063B),88:40:33:7E:27:6C (OPTICCAAC),5C:1A:6F:46:CA:67 (ALHN-D988),68:3A:48:34:82:10 (MTK_SOFT_AP),A8:AD:3D:D3:80:20 (ALHN-8616),68:3A:48:34:82:10 ([washer] Samsung),C4:44:7D:70:58:04 (OPTIC57FE),E2:36:B3:04:C2:89 (smartDongle-F9F8),FA:0C:58:40:DC:39 (),1A:30:14:7A:2C:08 (RosaMaria \xF0\x9F\x92\x95),64:D1:54:87:3F:E6 (MikroTik-873FE6),D4:1A:D1:3E:C6:72 (Baltcom_C671),5C:64:7A:47:46:58 (ALHN-BBED),1C:43:63:6A:56:F8 (OPTIC56EC-5G),FA:0D:AC:EC:1E:E0 (DIRECT-E0-HP Laser 137fnw),88:40:33:7E:27:70 (OPTICCAAC-5G),00:5F:67:46:A6:24 (Dignajas 3B-15),04:D3:B5:6A:88:C7 (HUAWEI-B535-88C7),04:D3:B5:6A:88:CC (HUAWEI-B535-88C7_5G),F0:68:65:36:11:FD (ALHN-442D-5),C4:EA:1D:B7:5A:F1 (TNCAPB75AF1)
10,-70,-64,-62,-62,-46,-63,0,1,11,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,-84.0,-84.0,-85.0,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-70,-64,-62,-62,-46,-63,0,1,12,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,-84.0,-84.0,-85.0,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-70,-64,-62,-62,-46,-63,0,1,13,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,-84.0,-84.0,-85.0,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-70,-64,-62,-62,-46,-63,0,1,14,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,-84.0,-84.0,-85.0,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-70,-64,-62,-62,-46,-63,0,1,15,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,-84.0,-84.0,-85.0,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-70,-64,-62,-62,-46,-63,0,1,16,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-70,-64,-62,-62,-46,-63,0,1,17,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-70,-64,-62,-62,-46,-63,0,1,18,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-70,-64,-62,-62,-46,-63,0,1,19,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-70,-64,-62,-62,-46,-63,0,1,20,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-70,-64,-62,-62,-46,-63,0,1,21,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-70,-64,-62,-62,-46,-63,0,1,22,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-70,-64,-62,-62,-46,-63,0,1,23,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-70,-64,-62,-62,-46,-63,0,1,24,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-70,-64,-62,-62,-46,-63,0,1,25,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-70,-64,-62,-62,-46,-63,0,1,26,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-70,-64,-62,-62,-46,-63,0,1,27,56,685,-72.0,-72.0,-81,-80,-84,-85,-80.0,-83.0,-84.0,,-77.0,-80.0,,,,-78.0,-84.0,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-65,-66,-57,-58,-46,-61,0,1,28,56,685,-72.0,-72.0,-73,-75,-82,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-65,-66,-57,-58,-46,-61,0,1,29,56,685,-72.0,-72.0,-73,-75,-82,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-65,-66,-57,-58,-46,-61,0,1,30,56,685,-72.0,-72.0,-73,-75,-82,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-65,-66,-57,-58,-46,-61,0,1,31,56,685,-72.0,-72.0,-73,-75,-82,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-65,-66,-57,-58,-46,-61,0,1,32,56,685,-72.0,-72.0,-73,-75,-82,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-65,-66,-57,-58,-46,-61,0,1,33,56,685,-72.0,-72.0,-73,-75,-82,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-66,-65,-61,-63,-51,-65,0,1,34,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-66,-65,-61,-63,-51,-65,0,1,35,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-66,-65,-61,-63,-51,-65,0,1,36,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-66,-65,-61,-63,-51,-65,0,1,37,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,-78.0,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-66,-65,-61,-63,-51,-65,0,1,38,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-66,-65,-61,-63,-51,-65,0,1,39,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-66,-65,-61,-63,-51,-65,0,1,40,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,-83.0,-84.0,,-81.0,-78.0,,,,,,-88.0,-86.0,-80.0,-85.0,-81.0,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-66,-65,-61,-63,-51,-65,0,1,41,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-66,-65,-61,-63,-51,-65,0,1,42,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,-66,-65,-61,-63,-51,-65,0,1,43,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,-66,-65,-61,-63,-51,-65,0,1,44,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-66,-65,-61,-63,-51,-65,0,1,45,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,-66,-65,-61,-63,-51,-65,0,1,46,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,-66,-65,-61,-63,-51,-65,0,1,47,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-66,-65,-61,-63,-51,-65,0,1,48,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-66,-65,-61,-63,-51,-65,0,1,49,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-66,-65,-61,-63,-51,-65,0,1,50,56,685,-72.0,-72.0,-73,-80,-81,-85,-80.0,,,,-81.0,-78.0,,,,,,,,,,,-84.0,-86.0,-81.0,-80.0,-78.0,-80.0,-81.0,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-62,-69,-57,-62,-44,-71,0,2,1,168,685,,-75.0,-78,-85,-83,-82,-84.0,,,,-80.0,,,,-86.0,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-62,-69,-57,-62,-44,-71,0,2,2,168,685,,-75.0,-78,-85,-83,-82,-84.0,,,,-80.0,,,,-86.0,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,-74,-72,-59,-65,-65,-68,0,2,3,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-74,-72,-59,-65,-65,-68,0,2,4,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,-74,-72,-59,-65,-65,-68,0,2,5,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,-74,-72,-59,-65,-65,-68,0,2,6,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,-74,-72,-59,-65,-65,-68,0,2,7,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,-74,-72,-59,-65,-65,-68,0,2,8,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,-74,-72,-59,-65,-65,-68,0,2,9,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,-74,-72,-59,-65,-65,-68,0,2,10,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,-74,-72,-59,-65,-65,-68,0,2,11,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-74,-72,-59,-65,-65,-68,0,2,12,168,685,,-75.0,-71,-85,-85,-85,-84.0,,,,-82.0,,,,-86.0,,-83.0,,,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
